,y_train,y_pred_train
hmt2_dpd4_2,0.1861873661589194,0.34522313042399805
cac2_arp6_3,0.3120171181313832,0.3645895872716589
sus1_pyk2_1,0.5897977317609921,0.4078623896250918
pyk2_hos2_3,0.3583235771536559,0.31947369101955597
hst2_pyk2_3,0.3313363455304293,0.25891038963642654
snf11_hos1_1,0.6839970588529873,0.521956475188692
hhf2_med4_4,0.568621410325918,0.30623413924186116
dpd4_mig1_3,0.180428028676243,0.35778741017651144
gapdh_hos2_3,0.2238118214974636,0.2680572274654881
hat2_nut2_2,0.3280371334767958,0.48953408617185934
eaf3_mig1_1,0.2020555696547079,0.3793700193729671
med7_hhf2_3,0.3518458888686118,0.42168202866224175
med4_ies5_4,0.2463633644954341,0.41338874798475056
htl1_vp16_2,0.5370963608843669,0.5519281979503811
ada2_gcn5_3,0.4530967884521405,0.4111836587101005
spp1_hat1_4,0.2693956818918662,0.3096474981918524
gapdh_arp9_3,0.1919356974315003,0.27760217848689606
hda1_rtt102_2,0.2289849735674091,0.4442498887123122
swc5_rpd3_1,0.2549831600218349,0.34131177868813956
eaf3_sus1_2,0.5112285342652195,0.45323764359858765
cac2_btt1_4,0.2958440882961392,0.34107863919843634
eaf5_hmt2_2,0.7287085589579642,0.4392972653087794
lge1_sus1_1,0.4579394985020648,0.4388043420247466
lge1_swc5_1,0.4897543600939169,0.4426389949343518
hos1_vp16_2,0.5323950916064791,0.5009851744710884
btt1_arp6_4,0.3374367427480578,0.32398285447207
vp16_nhp6a_2,0.897631360143556,0.6433132398239745
sir2_eaf3_2,0.1698722831556036,0.4404926585862724
pyk2_eaf3_2,0.2330915274610886,0.40644683303295825
med4_tdh3_4,0.2423496439416311,0.37451310964631174
swc5_vp16_1,0.5979176690037551,0.3959830655759344
empty_nhp10_4,0.340813861039459,0.3173964515672518
arp6_srb7_3,0.391459005326796,0.3919995795011767
sfh1_cdc36_4,0.3502380761201652,0.5005728271020503
rtt102_vp16_3,0.6394425029741198,0.4169946179967813
eaf5_bre2_1,0.5640701619760461,0.4246820090557185
med7_dpd4_1,0.2912612130554906,0.4401557436176562
vp16_cdc36_1,0.8677308282292571,0.6036015374830633
hat2_hhf2_1,0.1912300839545974,0.41471554778595815
gcn5_swc5_2,0.5050589363110874,0.45810627213139027
hhf2_gcn5_1,0.2777722649820071,0.3294022214846912
nut2_esa1_1,0.6427240824501474,0.47676375965548845
med7_nut2_2,0.6253316745646393,0.5049053475160054
rtt102_dpd4_2,0.5509654756189716,0.46860710045104503
sus1_vps71_1,0.6540007623094043,0.4517308846678903
bre2_rpd3_1,0.2912566542866655,0.3661094219376597
gapdh_swc5_1,0.2169253867255793,0.2994982642426478
sus1_nut2_2,0.7092707871036135,0.5082191899289987
med7_vp16_4,0.6551384793514139,0.41430996212109295
eaf3_swc5_1,0.2465675684780728,0.39865863290053244
cac2_dpd4_2,0.4280963696611733,0.4445567116969127
nhp6a_hat1_4,0.242861262653225,0.29105620570143254
rpd3_ada2_4,0.3721330714390377,0.30593994347938774
bre2_snf11_1,0.6690363305768654,0.4327890762037273
vps71_hos2_2,0.400845672500272,0.47389011482652177
