,y_train,y_pred_train
mig1_nut2,0.2152421758607334,0.21694905817816396
hhf2_nut2,0.2207622111289587,0.324391957117776
pyk2_sus1,0.2589668119560677,0.3105831793214668
swc5_eaf3,0.2793736274209402,0.32291755700496405
vp16_mig1,0.8532715992044198,0.6678481368804162
vps71_empty,0.2520744967274816,0.2920831124301611
rtt102_med4,0.6244252115058597,0.5568337940217796
bre2_cac2,0.257183016465675,0.29785758023581405
hat1_swc5,0.3276878580369556,0.3565168940304996
hos2_htl1,0.5934251395241723,0.5100721336108465
esa1_pyk1,0.3435692361155946,0.28209907338876905
spp1_rpd3,0.2297975059614833,0.31844083503414494
tdh3_btt1,0.1955328895367308,0.24042426129864228
swd3_snf11,0.7709514598470582,0.6788607841125092
btt1_sfh1,0.3793862543961518,0.4765123460033959
vps71_sus1,0.3716717938477606,0.3752039267394192
med7_empty,0.355013637309605,0.3815867366445324
vps71_hat2,0.2537347508934524,0.3101543069305534
nut2_arp9,0.5869632684430022,0.5201197737946724
nhp10_esa1,0.2990225987720599,0.3445873046959832
swd3_hst2,0.4508970803520483,0.41011587621831197
eaf3_gapdh,0.2911002258888013,0.2651045352273369
nhp10_nut2,0.2758059374730636,0.3561643452052792
eaf3_hmt2,0.2659015370419084,0.2806723539239294
mig1_arp9,0.2682391749947665,0.256918588471403
vps71_arp9,0.2192707967088215,0.30941613311361205
pyk1_swc5,0.2191480882613495,0.242004484406224
hmt2_vps71,0.3136757006558804,0.30396959646071214
bre2_swc5,0.2802423592174003,0.30398454137981473
eaf5_spp1,0.6316078201188855,0.5563883955509823
eaf5_nhp10,0.2386699650026951,0.31951472544411946
hda1_spp1,0.3148960986252139,0.3360410515344123
med7_dpd4,0.2912612130554906,0.3326986967216465
rpd3_eaf3,0.4021538251233504,0.3587753085307883
empty_nhp6a,0.2153842435267456,0.30265659411430923
hmt2_empty,0.1934606802946756,0.27903907136172523
ldb7_sus1,0.7170351493189198,0.6256757121815415
hat1_pyk1,0.229134033698197,0.23626562554808872
nhp6a_hos2,0.2064544582999809,0.29178358056266185
cac2_cdc36,0.3346435211512494,0.3534963552920919
sir2_srb7,0.2075551044908517,0.29124470356845494
eaf3_rpd3,0.2735787168795669,0.32838898966890967
med7_pyk1,0.3397654422776397,0.30012426047644325
vps71_DAM,0.2255092992991132,0.3214209245413495
pyk2_gcn5,0.2471024062542042,0.3250054309157121
swd3_arp9,0.4591813086996255,0.42261356667605715
ies5_swd3,0.4864135288883789,0.4358323037878419
bre2_vps71,0.209504162540607,0.2974204153715999
mig1_dpd4,0.1765021359398308,0.19003914267762614
gapdh_eaf3,0.2333479961900952,0.24034628144849116
eaf3_sfh1,0.3083319265280809,0.40924801512358217
ies5_tdh3,0.417532446383575,0.3999878721924408
