,bin1_rep1,bin2_rep1,bin3_rep1,bin4_rep1,bin5_rep1,bin6_rep1,bin1_rep2,bin2_rep2,bin3_rep2,bin4_rep2,bin5_rep2,bin6_rep2
ada2_eaf3,1724.0,1527.0,2053.0,3177.0,5452.0,483.0,1288.0,1066.0,988.0,1105.0,916.0,893.0
med7_srb7,1723.0,1684.0,2582.0,3108.0,7306.0,56314.0,2977.0,3064.0,3934.0,3620.0,4901.0,8520.0
btt1_hat1,1718.0,1978.0,3392.0,2316.0,2511.0,824.0,2105.0,2017.0,2413.0,2661.0,3251.0,6589.0
rtt102_rpd3,1716.0,1329.0,1606.0,1649.0,1370.0,990.0,2343.0,1546.0,2737.0,2869.0,3024.0,2740.0
dpd4_hhf2,1691.0,1504.0,2110.0,1412.0,1381.0,477.0,9524.0,5244.0,6080.0,4938.0,3697.0,911.0
hos2_arp9,1686.0,177.0,385.0,308.0,144.0,52.0,203.0,150.0,178.0,192.0,204.0,66.0
tdh3_hhf2,1665.0,1514.0,1420.0,1101.0,768.0,357.0,433.0,325.0,572.0,465.0,532.0,502.0
vp16_srb7,1654.0,2014.0,2643.0,1507.0,1753.0,643.0,3898.0,2942.0,2947.0,3004.0,4038.0,2630.0
med4_srb7,1651.0,1706.0,2870.0,1671.0,1872.0,665.0,4112.0,2083.0,2608.0,3693.0,5301.0,24458.0
gapdh_med7,1636.0,1016.0,1062.0,887.0,873.0,729.0,1366.0,1485.0,3813.0,2974.0,1929.0,584.0
ies5_dpd4,1634.0,1741.0,2778.0,2535.0,2938.0,914.0,1825.0,2650.0,4730.0,5059.0,8368.0,2134.0
ada2_med4,1618.0,1697.0,1872.0,1298.0,1322.0,833.0,2046.0,1919.0,1939.0,1781.0,2047.0,1503.0
rtt102_hhf2,1613.0,749.0,1211.0,971.0,945.0,173.0,1096.0,1086.0,1998.0,1385.0,1242.0,312.0
ies5_vp16,1609.0,1517.0,1706.0,1456.0,1518.0,1602.0,1819.0,1222.0,2209.0,1904.0,2165.0,2471.0
vp16_hat1,1608.0,1931.0,2353.0,1342.0,1359.0,1224.0,2034.0,1517.0,1530.0,1600.0,1665.0,767.0
nut2_snf11,1603.0,2144.0,3123.0,1497.0,1701.0,1176.0,1857.0,1545.0,1829.0,1652.0,2000.0,1810.0
swc5_snf11,1579.0,2272.0,3087.0,1704.0,1851.0,1065.0,13739.0,2576.0,3454.0,3235.0,3795.0,1733.0
rtt102_spp1,1576.0,1814.0,1901.0,1946.0,2022.0,297.0,1032.0,665.0,1165.0,1324.0,1413.0,319.0
nut2_med4,1575.0,1810.0,2012.0,1500.0,1575.0,943.0,1178.0,941.0,1287.0,1206.0,1346.0,1428.0
mig1_lge1,1560.0,687.0,1208.0,1139.0,1077.0,453.0,563.0,424.0,656.0,680.0,708.0,732.0
gapdh_hmt2,1530.0,1528.0,1313.0,1097.0,769.0,213.0,1809.0,1251.0,2973.0,1914.0,1940.0,325.0
ldb7_snf11,1525.0,1708.0,2257.0,1851.0,1831.0,1847.0,1550.0,1214.0,2609.0,2157.0,2703.0,1934.0
nut2_sus1,1519.0,778.0,1214.0,668.0,741.0,211.0,884.0,796.0,793.0,814.0,1097.0,2379.0
empty_med4,1516.0,1731.0,2369.0,1577.0,1801.0,1019.0,2823.0,1678.0,2121.0,2540.0,2045.0,1115.0
bre2_nut2,1491.0,1391.0,1666.0,1464.0,1421.0,335.0,288.0,270.0,329.0,291.0,368.0,282.0
sir2_pyk1,1485.0,1371.0,2219.0,1298.0,1029.0,164.0,568.0,395.0,573.0,606.0,400.0,249.0
cac2_med7,1479.0,1750.0,2378.0,1513.0,1500.0,274.0,1021.0,1173.0,1642.0,1538.0,1429.0,8458.0
hmt2_dpd4,1475.0,1317.0,1553.0,937.0,992.0,436.0,3852.0,3555.0,5288.0,3551.0,2993.0,740.0
gapdh_sus1,1472.0,1341.0,1668.0,1080.0,1128.0,356.0,1447.0,1298.0,2995.0,2986.0,6108.0,621.0
srb7_pyk2,1467.0,1776.0,3106.0,2053.0,2336.0,781.0,2549.0,2259.0,3597.0,3535.0,4776.0,5038.0
srb7_mig1,1459.0,1437.0,2737.0,2514.0,2829.0,516.0,1592.0,1214.0,1901.0,2239.0,2613.0,1048.0
dpd4_swc5,1444.0,1244.0,1975.0,1227.0,1177.0,406.0,3860.0,2563.0,3234.0,3192.0,2929.0,714.0
sir2_mig1,1439.0,1540.0,1971.0,1167.0,1143.0,275.0,1086.0,992.0,1101.0,1084.0,839.0,420.0
empty_empty,1426.0,1170.0,1518.0,971.0,1049.0,280.0,1296.0,699.0,889.0,958.0,1338.0,424.0
btt1_eaf3,1412.0,1553.0,2191.0,1406.0,1434.0,400.0,1239.0,1267.0,1710.0,1468.0,1845.0,593.0
dpd4_sus1,1409.0,1574.0,2073.0,1586.0,1182.0,501.0,3268.0,2376.0,3140.0,3460.0,3585.0,779.0
srb7_sus1,1392.0,1784.0,2586.0,1702.0,1742.0,629.0,1837.0,1908.0,2122.0,2325.0,2655.0,962.0
srb7_hmt2,1385.0,1424.0,2904.0,1731.0,1499.0,742.0,1865.0,1383.0,2025.0,1891.0,2092.0,683.0
snf11_cdc36,1384.0,1165.0,1288.0,743.0,617.0,181.0,691.0,347.0,428.0,425.0,511.0,403.0
med7_sfh1,1382.0,1313.0,1749.0,1349.0,1799.0,1865.0,1574.0,1244.0,2436.0,3323.0,12747.0,125134.0
gapdh_nut2,1378.0,1353.0,1514.0,892.0,1208.0,205.0,812.0,581.0,1317.0,1023.0,853.0,2367.0
btt1_rpd3,1378.0,1833.0,2436.0,1658.0,1758.0,1413.0,1839.0,1703.0,2494.0,2197.0,2922.0,2333.0
ada2_hat1,1375.0,1897.0,1973.0,1040.0,945.0,242.0,2353.0,883.0,888.0,982.0,885.0,1944.0
srb7_swc5,1374.0,1362.0,2052.0,1648.0,1380.0,2301.0,1608.0,1669.0,1718.0,1911.0,2415.0,531.0
htl1_hat1,1373.0,1605.0,1651.0,1314.0,1589.0,997.0,1176.0,917.0,1558.0,1410.0,2068.0,412.0
med4_hat1,1368.0,1457.0,2091.0,1526.0,1453.0,541.0,1643.0,1255.0,1676.0,1987.0,2500.0,8711.0
med4_sfh1,1343.0,1546.0,2476.0,2318.0,2748.0,4780.0,822.0,884.0,1378.0,1667.0,2401.0,739.0
hst2_dpd4,1334.0,1122.0,1620.0,914.0,712.0,213.0,1490.0,724.0,658.0,491.0,378.0,293.0
esa1_lge1,1334.0,839.0,1046.0,775.0,927.0,698.0,1182.0,1042.0,1011.0,1127.0,1499.0,352.0
dpd4_pyk2,1334.0,1278.0,1921.0,1291.0,1577.0,660.0,939.0,604.0,782.0,850.0,654.0,505.0
lge1_dpd4,1329.0,1361.0,1688.0,943.0,1099.0,1821.0,1153.0,759.0,765.0,625.0,741.0,377.0
vp16_pyk2,1328.0,1599.0,1746.0,1112.0,931.0,360.0,2312.0,1672.0,2547.0,2266.0,2907.0,608.0
