,bin1_rep1,bin2_rep1,bin3_rep1,bin4_rep1,bin5_rep1,bin6_rep1,flow_seq_score_rep_1,bin1_rep2,bin2_rep2,bin3_rep2,bin4_rep2,bin5_rep2,bin6_rep2,flow_seq_score_rep_2
nut2_med7,0.08848035508561367,0.23670688059259792,0.22410221731503774,0.22732369323557325,0.22068795200517008,0.002698901766007435,0.32330410168287294,0.060413516588911725,0.22465229804760742,0.23604124765813467,0.2356791562417472,0.24052515152551585,0.0026886299380832006,0.3399022882687997
dpd4_srb7,0.08610129080897964,0.21635191735648399,0.25109236368625215,0.22089706734283504,0.22477480126427637,0.0007825595411728696,0.3263199785029233,0.05430890849928117,0.23997467361686708,0.24548013040553443,0.22400947188156647,0.2339838188792232,0.0022429967175275844,0.33573051559673805
spp1_hat2,0.18267503469115592,0.2592750795547431,0.22276855708165963,0.18983571668010074,0.14506584219513993,0.0003797697972006344,0.2652116516464182,0.05187671269669108,0.24246145909783043,0.2306676783891339,0.23625301096865423,0.23745913955169112,0.001281999295999197,0.3384003433526887
dpd4_vp16,0.10167539433817256,0.244687061385565,0.24249242179628705,0.21685140794195643,0.19301955059118156,0.00127416394683748,0.3083821644147032,0.06241888560150399,0.23670238551290163,0.2185784734668126,0.23701531470782228,0.24318665317054877,0.002098287540410491,0.3383061895648916
rtt102_cdc36,0.26475798657633853,0.19992859768158566,0.15808992628469737,0.2249386707635604,0.15147402231834886,0.0008107963754690033,0.257267790527486,0.04666078366605051,0.1809797135504353,0.27212106455955853,0.22532434308894994,0.2731975648962059,0.0017165302387998267,0.3575096832450321
btt1_ies5,0.27361026592778687,0.17769186189783565,0.22515972362599007,0.17259199870331945,0.15005604862781052,0.000890101217257331,0.25006600083675756,0.05971363329401615,0.24603677562376217,0.2387135322466731,0.2611470594763452,0.19348263879495492,0.0009063605642485585,0.32648105379245806
rtt102_lge1,0.11006965258984423,0.23847208509924592,0.2050756315390109,0.25088772254418656,0.19384998976834866,0.0016449184593636485,0.31213015245429143,0.09948091645416347,0.23661176784828505,0.24603650370288735,0.22002628235495478,0.1973517652588364,0.00049276438087284,0.3115192150369477
eaf5_lge1,0.05759609532798731,0.10538882579175002,0.11519203543298076,0.2210407014471852,0.4617265031324622,0.03905583886763442,0.43444002969532686,0.058488477807315774,0.22697630007300318,0.242414756982953,0.2378541539348016,0.23063405649346502,0.0036322547084613904,0.33800939647992584
rtt102_empty,0.13021153027380958,0.1954977600550715,0.21008895027870503,0.21400366382613809,0.24906101495258304,0.001137080613692765,0.32280230213852734,0.07340550987602779,0.24497830324024497,0.25322035321630637,0.22941378847707164,0.1983254086394979,0.0006566365508513022,0.3194635989166172
tdh3_empty,0.0794565427294292,0.259254774922066,0.23833791631250315,0.23970430649353344,0.1824937064213115,0.0007527531211566922,0.3126831597598146,0.058156488578496056,0.2417525762714093,0.28289518367456884,0.23634833893096993,0.18020847948376398,0.0006389330607919192,0.3200880776646389
snf11_gapdh,0.11852993211978069,0.32759648032414457,0.2745981414413816,0.16686203559320145,0.11182755160468126,0.0005858589168103496,0.26108833871275555,0.06886721517918008,0.3522718019543862,0.20452927564400827,0.21276284790446864,0.16092367377517763,0.0006451855427791461,0.2923627885386307
srb7_lge1,0.07446976744729833,0.2013975182495728,0.24127161535613204,0.2380499877004875,0.24408452592586935,0.0007265853206399414,0.3397231060528537,0.059385971735846636,0.24191377988342744,0.22620255523428748,0.22784339632265393,0.24062251542388496,0.004031781399899701,0.3372140068592861
hmt2_hat1,0.11556740016177902,0.2549588215895273,0.21575395117039048,0.24931700489460376,0.16379961402429663,0.0006032081594027812,0.29894746221547425,0.05193267140775102,0.2132879485616998,0.2725370023164536,0.24260332741928012,0.21844043445156247,0.0011986158432529493,0.3379895360678517
btt1_swc5,0.18706184936692086,0.19035238596427437,0.16128000085407201,0.22949139423597018,0.23105493127968282,0.0007594382990797402,0.3042004981420655,0.04819694412029039,0.2646833930532238,0.21797999275055274,0.2548464900267803,0.21279419142996076,0.0014989886191921304,0.33197922249292483
vp16_med7,0.05260323752016937,0.10713556882706807,0.13174440469627058,0.22011493258452244,0.4783963389861579,0.010005517385811642,0.42779744554955235,0.05145118697702397,0.24267169208651318,0.22835164638064961,0.23936613249087016,0.23605867811541462,0.00210066394952855,0.3388873449328177
vp16_vp16,0.09453664011803962,0.19121799291006103,0.18497297599607132,0.21257238696384761,0.31202191476825347,0.004678089243726965,0.3529084587264851,0.07705694062110775,0.2574895976559271,0.18641002174565563,0.2446406996661255,0.23294289001689128,0.001459850294292672,0.3290432216692347
tdh3_eaf3,0.10073657918188972,0.2474657645206114,0.2438125774933121,0.25080046631411335,0.1566499716662961,0.00053464082377721,0.3023950584619495,0.04852644830003969,0.20618306579168927,0.29973962265942405,0.22340197042788185,0.22176272738826106,0.0003861654327040854,0.3378357084443924
tdh3_cdc36,0.11915322752117033,0.2633724103974941,0.21880669875147635,0.1994386940426489,0.1982094415106706,0.0010195277765396055,0.2996053278505391,0.04741925013603053,0.2350559244934674,0.30856126708229054,0.2204217212117017,0.1881684160140073,0.00037342106250244823,0.32399777023738496
dpd4_gapdh,0.04374345234171219,0.09170379063466828,0.14341707241459775,0.21819309389174135,0.4821357524147717,0.020806838302508845,0.43795634547295975,0.06099276076501093,0.25272463378634263,0.22966732361019543,0.23440853921726149,0.22017596900976302,0.0020307736114264672,0.3294489489649574
hst2_lge1,0.12529348944000804,0.21833338306928735,0.23137873418797616,0.2032787743297998,0.21566667258663275,0.006048946386295739,0.3119769423875212,0.06404152859122458,0.25358217480685746,0.23330125225805168,0.23232390020467938,0.2142547257473248,0.0024964183918620942,0.32666533926937263
btt1_vp16,0.08012753820502999,0.22275498427784904,0.25084222225701147,0.21938695511758058,0.22522801169607135,0.0016602884464574463,0.32740196902302665,0.045879671291526196,0.17812326528426067,0.21505580528344373,0.22880826691890616,0.3309845736793435,0.0011484175425198852,0.3749057227196914
vp16_nhp6a,0.08578834066510353,0.2387247977204263,0.23133175904318007,0.2215645846612161,0.21986033129455945,0.0027301866155146548,0.3227391897208922,0.0605860733554793,0.22293035113124265,0.23581973486702587,0.24176789467705775,0.23613884713702663,0.002757098832167696,0.3397449125150589
dpd4_med4,0.07995063364422933,0.21048710469095677,0.2238319967500724,0.2357480260573359,0.24903284787005509,0.0009493909873504241,0.3380390746828688,0.07030097409998315,0.2108884536821133,0.2277367996230499,0.2540003259848289,0.23378145523850252,0.003291991371522194,0.33999268695633156
tdh3_sus1,0.07713566943765993,0.24616088379244758,0.2503560123470692,0.23591599597274276,0.1896971712533618,0.0007342671967186776,0.3167258453431221,0.049894361208719845,0.22710088891973962,0.29072048934407513,0.2451652603763165,0.18636988158019135,0.000749118570957574,0.3276089668446275
ada2_swc5,0.21635161361540733,0.30183741087128274,0.18850353103210346,0.17530127437138712,0.1176297491669353,0.00037642094288411186,0.23959277106168755,0.07281974818667063,0.2749763460694473,0.19368062794477062,0.19243513581716223,0.2647344967271083,0.001353645254840856,0.32933560322758754
srb7_vp16,0.06688779642316324,0.22602649778081063,0.2521040215558675,0.22023448394130374,0.2327492214162147,0.0019979788826400605,0.33313211039921653,0.04047840211716757,0.17871346434472343,0.18374556612667697,0.25340557075834547,0.34170952169298074,0.0019474749601057155,0.38328525292079507
tdh3_hat1,0.08777093635417224,0.24273925966901805,0.2286109786258493,0.2473204800647225,0.1927985189750007,0.0007598263112372882,0.31670226636729615,0.037912166522376806,0.189027802941878,0.2943187427322831,0.24911055852980588,0.2291757250946587,0.0004550041789974142,0.3491392693242119
rtt102_snf11,0.08259249279232617,0.26515828331275926,0.27078325674198217,0.22424551714724067,0.15617141349728725,0.0010490365084045148,0.30134174068137387,0.04882514587888923,0.2456200411816752,0.25237670687587394,0.23108203443646813,0.22031804805728147,0.001778023569812026,0.33339740976014476
tdh3_med7,0.08168334228449657,0.2454516827270897,0.23689031618839715,0.2377311302374733,0.19703303193776295,0.0012104966247803676,0.3180871880987511,0.052939375930463134,0.2276699158003348,0.27877250990204727,0.2274514984686282,0.21249530915197634,0.0006713907465502549,0.3315582316215672
