,bin1_rep1,bin2_rep1,bin3_rep1,bin4_rep1,bin5_rep1,bin6_rep1,bin7_rep1,bin8_rep1,bin1_rep2,bin2_rep2,bin3_rep2,bin4_rep2,bin5_rep2,bin6_rep2,bin7_rep2,bin8_rep2
sir2_ldb7,2490.0,2124.0,2158.0,1797.0,689.0,107.0,75.0,165.0,1438.0,1641.0,1152.0,1083.0,1471.0,317.0,179.0,513.0
hhf2_lge1,2482.0,1267.0,1371.0,587.0,322.0,84.0,221.0,90.0,1499.0,1192.0,1253.0,850.0,1126.0,577.0,686.0,179.0
pyk1_spp1,2471.0,2030.0,3002.0,1736.0,1569.0,57.0,58.0,100.0,1225.0,349.0,614.0,818.0,669.0,151.0,196.0,122.0
dpd4_hst2,2457.0,2378.0,1609.0,858.0,209.0,87.0,528.0,83.0,2424.0,2957.0,1118.0,897.0,900.0,318.0,180.0,187.0
tdh3_eaf5,2453.0,1755.0,2134.0,1236.0,786.0,57.0,116.0,43.0,343.0,947.0,208.0,329.0,649.0,118.0,99.0,104.0
empty_swd3,2447.0,1266.0,1546.0,1300.0,573.0,421.0,210.0,60.0,1615.0,1400.0,1476.0,841.0,1522.0,421.0,189.0,264.0
hat2_med4,2445.0,2142.0,2238.0,1789.0,1126.0,135.0,44.0,38.0,1681.0,1038.0,1066.0,864.0,3326.0,417.0,192.0,1036.0
hos2_spp1,2441.0,946.0,700.0,414.0,668.0,405.0,592.0,39.0,699.0,820.0,767.0,475.0,1047.0,2539.0,1195.0,333.0
arp9_hat1,2432.0,926.0,752.0,340.0,144.0,59.0,16.0,25.0,98.0,20.0,95.0,58.0,26.0,30.0,19.0,29.0
mig1_nut2,2426.0,676.0,1136.0,646.0,233.0,74.0,59.0,71.0,1506.0,441.0,694.0,308.0,526.0,438.0,1085.0,307.0
mig1_med7,2424.0,878.0,854.0,755.0,542.0,550.0,400.0,572.0,1279.0,687.0,646.0,282.0,764.0,579.0,976.0,568.0
eaf3_srb7,2424.0,839.0,840.0,867.0,118.0,26.0,28.0,36.0,826.0,1091.0,872.0,504.0,970.0,56.0,58.0,48.0
rtt102_sfh1,2415.0,4007.0,10387.0,20085.0,47031.0,8572.0,2021.0,2763.0,1754.0,4229.0,8360.0,17699.0,69918.0,14246.0,5630.0,6355.0
tdh3_nhp10,2413.0,1082.0,785.0,753.0,288.0,42.0,49.0,44.0,2538.0,1676.0,1774.0,862.0,766.0,107.0,100.0,97.0
tdh3_swd3,2412.0,1747.0,2164.0,866.0,556.0,61.0,53.0,65.0,2280.0,1817.0,1663.0,907.0,435.0,262.0,177.0,179.0
sir2_nhp10,2410.0,954.0,1221.0,1326.0,211.0,38.0,39.0,53.0,726.0,291.0,446.0,309.0,647.0,75.0,78.0,78.0
hhf2_vp16,2399.0,1235.0,1204.0,1328.0,357.0,47.0,27.0,24.0,770.0,613.0,615.0,521.0,696.0,55.0,52.0,84.0
mig1_sfh1,2391.0,1436.0,1014.0,582.0,490.0,612.0,705.0,876.0,2230.0,1250.0,615.0,244.0,382.0,280.0,304.0,657.0
empty_spp1,2390.0,1423.0,1465.0,1184.0,429.0,174.0,31.0,40.0,597.0,731.0,895.0,317.0,327.0,145.0,184.0,74.0
hst2_vp16,2384.0,1690.0,1459.0,1212.0,570.0,341.0,338.0,662.0,2005.0,2568.0,1964.0,1265.0,1932.0,519.0,460.0,557.0
srb7_DAM,2382.0,2957.0,5757.0,8169.0,6643.0,930.0,1102.0,919.0,958.0,3501.0,4125.0,5691.0,15414.0,3015.0,1363.0,1143.0
nhp10_rpd3,2381.0,3357.0,3635.0,3029.0,1427.0,177.0,162.0,160.0,1370.0,3238.0,3101.0,1943.0,1413.0,404.0,340.0,397.0
arp9_med4,2380.0,887.0,848.0,949.0,938.0,1316.0,52.0,63.0,1034.0,837.0,682.0,691.0,1829.0,2795.0,367.0,573.0
gapdh_btt1,2373.0,1633.0,1824.0,992.0,490.0,46.0,40.0,38.0,1437.0,1343.0,848.0,635.0,320.0,98.0,91.0,93.0
srb7_med4,2369.0,2540.0,3333.0,7024.0,38663.0,96721.0,62231.0,16329.0,1851.0,2335.0,2320.0,4533.0,67829.0,196470.0,132545.0,31539.0
nhp10_ada2,2369.0,765.0,1502.0,825.0,290.0,108.0,84.0,96.0,632.0,1260.0,1242.0,997.0,1122.0,1849.0,2571.0,1901.0
esa1_hmt2,2366.0,3854.0,6154.0,8816.0,7473.0,726.0,594.0,328.0,1566.0,3063.0,4564.0,6026.0,11509.0,1079.0,1243.0,1143.0
btt1_nhp6a,2360.0,1864.0,1604.0,2376.0,899.0,217.0,108.0,131.0,1569.0,1590.0,1739.0,1644.0,3064.0,359.0,253.0,253.0
hda1_nut2,2348.0,1146.0,1206.0,812.0,560.0,16.0,15.0,15.0,625.0,925.0,738.0,408.0,702.0,36.0,315.0,72.0
mig1_hat2,2336.0,1161.0,1343.0,416.0,186.0,41.0,39.0,65.0,782.0,489.0,452.0,145.0,174.0,143.0,130.0,92.0
med7_nhp10,2335.0,1850.0,2472.0,1914.0,436.0,36.0,61.0,49.0,775.0,888.0,1223.0,568.0,211.0,240.0,91.0,163.0
sus1_pyk1,2325.0,1766.0,859.0,1084.0,3014.0,2862.0,673.0,129.0,1775.0,646.0,627.0,874.0,4842.0,5233.0,1757.0,316.0
spp1_arp9,2309.0,1599.0,2174.0,976.0,353.0,119.0,67.0,60.0,855.0,961.0,1017.0,609.0,1190.0,234.0,560.0,109.0
sir2_bre2,2298.0,1208.0,1294.0,840.0,323.0,419.0,557.0,69.0,822.0,1044.0,1008.0,456.0,445.0,185.0,361.0,152.0
bre2_med7,2290.0,1867.0,2305.0,3591.0,3269.0,867.0,364.0,257.0,2097.0,1651.0,2143.0,3029.0,9208.0,1988.0,1178.0,879.0
hst2_arp9,2271.0,883.0,981.0,584.0,78.0,49.0,28.0,29.0,1142.0,545.0,446.0,294.0,196.0,368.0,75.0,218.0
nhp10_sus1,2270.0,2361.0,3777.0,3656.0,1012.0,273.0,216.0,304.0,4095.0,4140.0,4040.0,2556.0,3471.0,682.0,803.0,623.0
hat2_sfh1,2270.0,1772.0,2335.0,1537.0,806.0,39.0,44.0,58.0,1479.0,1685.0,1428.0,1325.0,978.0,510.0,181.0,218.0
htl1_hat2,2259.0,1882.0,4666.0,6066.0,7323.0,523.0,394.0,421.0,1121.0,1646.0,3379.0,4161.0,9401.0,1149.0,796.0,475.0
swc5_ies5,2233.0,1036.0,1629.0,1089.0,480.0,49.0,48.0,49.0,1193.0,2257.0,1397.0,733.0,1050.0,159.0,97.0,251.0
hmt2_vp16,2228.0,4015.0,4108.0,3492.0,2989.0,369.0,235.0,252.0,3803.0,4270.0,3317.0,2299.0,4570.0,705.0,488.0,490.0
cac2_pyk2,2225.0,1806.0,1536.0,1236.0,498.0,86.0,48.0,124.0,1375.0,906.0,672.0,659.0,1082.0,550.0,108.0,117.0
hda1_med4,2216.0,1774.0,1444.0,1938.0,2493.0,127.0,18.0,20.0,442.0,783.0,649.0,336.0,1269.0,42.0,36.0,40.0
nhp10_hmt2,2214.0,3356.0,4070.0,3631.0,2320.0,234.0,124.0,126.0,1829.0,4530.0,2615.0,1718.0,1608.0,325.0,264.0,462.0
hos2_rpd3,2200.0,976.0,1860.0,1870.0,3200.0,4086.0,2762.0,1070.0,1138.0,729.0,1141.0,1181.0,5571.0,7102.0,3013.0,3354.0
hmt2_mig1,2185.0,2727.0,1452.0,1124.0,95.0,93.0,69.0,65.0,1160.0,1252.0,939.0,438.0,338.0,255.0,106.0,287.0
nhp10_hhf2,2182.0,2912.0,4621.0,3284.0,936.0,189.0,154.0,179.0,1489.0,2693.0,2174.0,1289.0,1572.0,495.0,364.0,359.0
htl1_ies5,2179.0,2343.0,2252.0,2463.0,2836.0,169.0,149.0,142.0,2765.0,3485.0,3454.0,3110.0,3647.0,941.0,490.0,610.0
srb7_eaf3,2174.0,3242.0,8084.0,15975.0,20183.0,2135.0,1085.0,1332.0,2161.0,3338.0,8334.0,15392.0,51546.0,8267.0,3734.0,2509.0
srb7_gcn5,2167.0,1676.0,2781.0,6294.0,17220.0,11587.0,1081.0,1217.0,521.0,1148.0,1969.0,4208.0,30266.0,17397.0,3137.0,1494.0
cac2_bre2,2166.0,1660.0,2469.0,2122.0,1106.0,2286.0,2966.0,2819.0,464.0,602.0,667.0,528.0,1193.0,263.0,103.0,151.0
rtt102_hhf2,2110.0,1093.0,3073.0,3836.0,5471.0,273.0,124.0,140.0,1957.0,2433.0,4607.0,5497.0,10412.0,867.0,306.0,410.0
cac2_rtt102,2100.0,919.0,1446.0,1361.0,518.0,46.0,32.0,74.0,746.0,844.0,1417.0,1049.0,1355.0,117.0,138.0,106.0
vps71_bre2,2095.0,808.0,778.0,1127.0,596.0,53.0,58.0,67.0,1530.0,940.0,770.0,919.0,476.0,164.0,1348.0,351.0
btt1_sir2,2081.0,1126.0,1045.0,401.0,484.0,64.0,35.0,88.0,1252.0,1853.0,723.0,765.0,372.0,83.0,194.0,56.0
vp16_vp16,2074.0,1596.0,2204.0,2393.0,2548.0,7720.0,30782.0,124822.0,2249.0,1521.0,1512.0,1501.0,4436.0,23349.0,69881.0,268363.0
rtt102_rpd3,2071.0,3025.0,8932.0,14576.0,35925.0,4939.0,1629.0,1066.0,1160.0,1727.0,3729.0,7870.0,28332.0,10755.0,4696.0,2464.0
hos2_hat2,2066.0,1435.0,1837.0,1992.0,3188.0,4082.0,2825.0,2026.0,1414.0,1562.0,1535.0,2025.0,7576.0,12220.0,10143.0,4423.0
ada2_empty,2057.0,1365.0,1685.0,1803.0,8652.0,20476.0,11485.0,2710.0,704.0,760.0,831.0,1085.0,20563.0,46918.0,29750.0,7415.0
rtt102_DAM,2057.0,1056.0,3882.0,6162.0,11257.0,1643.0,1005.0,421.0,1047.0,1328.0,2504.0,4154.0,13846.0,4286.0,1054.0,772.0
srb7_sus1,2056.0,2414.0,5689.0,12055.0,33613.0,27641.0,5825.0,1749.0,2612.0,2122.0,4493.0,9772.0,69805.0,61201.0,14131.0,5358.0
cac2_sir2,2055.0,780.0,1077.0,289.0,122.0,154.0,33.0,17.0,380.0,259.0,643.0,243.0,101.0,35.0,43.0,52.0
btt1_hst2,2055.0,1678.0,1330.0,1661.0,681.0,58.0,38.0,83.0,1416.0,603.0,953.0,653.0,778.0,295.0,90.0,113.0
hst2_hat2,2050.0,1865.0,2320.0,1206.0,481.0,127.0,178.0,285.0,2043.0,1417.0,1347.0,730.0,438.0,349.0,172.0,193.0
rtt102_swc5,2045.0,2483.0,5293.0,9749.0,19377.0,2151.0,547.0,297.0,1099.0,1321.0,3794.0,7804.0,24630.0,3299.0,1202.0,823.0
vps71_pyk1,2035.0,965.0,1211.0,737.0,193.0,41.0,27.0,27.0,1642.0,898.0,1059.0,655.0,544.0,318.0,369.0,89.0
rtt102_eaf3,2022.0,2330.0,7228.0,15648.0,39500.0,6721.0,520.0,776.0,904.0,2137.0,4533.0,10186.0,44740.0,11168.0,2212.0,1399.0
hat2_empty,2017.0,1920.0,872.0,604.0,352.0,108.0,46.0,50.0,2607.0,1711.0,964.0,824.0,325.0,198.0,652.0,115.0
pyk2_lge1,2013.0,1960.0,989.0,1576.0,350.0,66.0,77.0,69.0,1640.0,2201.0,969.0,913.0,1106.0,183.0,594.0,169.0
hhf2_gapdh,2010.0,1558.0,1092.0,926.0,490.0,109.0,234.0,108.0,1424.0,1115.0,1131.0,1125.0,1302.0,261.0,214.0,212.0
spp1_ies5,2008.0,2045.0,2421.0,1536.0,1939.0,131.0,26.0,29.0,586.0,1154.0,908.0,419.0,846.0,146.0,84.0,81.0
hmt2_snf11,2007.0,1986.0,3306.0,3643.0,2229.0,129.0,120.0,96.0,926.0,1284.0,2110.0,1898.0,2707.0,477.0,470.0,327.0
gapdh_ldb7,2005.0,2070.0,2251.0,1257.0,697.0,72.0,80.0,94.0,2005.0,2353.0,1655.0,1162.0,800.0,252.0,154.0,151.0
btt1_cac2,1992.0,1425.0,1896.0,1540.0,562.0,438.0,82.0,86.0,2227.0,2144.0,2259.0,1685.0,2390.0,519.0,422.0,246.0
eaf3_med7,1990.0,719.0,1163.0,1155.0,911.0,182.0,28.0,60.0,193.0,363.0,831.0,540.0,2623.0,1858.0,252.0,285.0
swc5_pyk1,1976.0,807.0,991.0,509.0,195.0,49.0,45.0,44.0,1298.0,1241.0,1005.0,372.0,626.0,300.0,740.0,165.0
spp1_rtt102,1958.0,1257.0,1334.0,946.0,453.0,61.0,101.0,131.0,1420.0,1156.0,964.0,838.0,631.0,211.0,134.0,152.0
srb7_cac2,1952.0,3197.0,7545.0,8934.0,8267.0,728.0,662.0,291.0,1196.0,2448.0,4502.0,5575.0,13108.0,1649.0,730.0,601.0
pyk2_gapdh,1951.0,1485.0,1378.0,1441.0,468.0,234.0,205.0,233.0,4255.0,4169.0,3190.0,1872.0,1685.0,461.0,431.0,467.0
btt1_gcn5,1949.0,2774.0,6392.0,10428.0,16092.0,2559.0,596.0,844.0,1059.0,2252.0,4564.0,8040.0,30993.0,9337.0,1470.0,1438.0
nut2_sus1,1945.0,784.0,1638.0,1320.0,4921.0,12729.0,12986.0,4176.0,422.0,693.0,759.0,1332.0,12079.0,39677.0,28699.0,15924.0
esa1_srb7,1943.0,1886.0,3725.0,6052.0,9322.0,2799.0,440.0,340.0,1710.0,1901.0,3119.0,5475.0,23427.0,6551.0,2605.0,2375.0
bre2_btt1,1939.0,1294.0,1578.0,1386.0,658.0,341.0,44.0,78.0,1721.0,1087.0,1064.0,1224.0,2637.0,284.0,179.0,240.0
srb7_bre2,1932.0,2597.0,4587.0,6911.0,6597.0,808.0,182.0,597.0,1259.0,1960.0,3549.0,4523.0,11102.0,1832.0,1836.0,893.0
snf11_sus1,1927.0,1035.0,1121.0,1134.0,7931.0,31174.0,60772.0,29295.0,1177.0,768.0,956.0,1078.0,13689.0,66442.0,83865.0,51383.0
sir2_hmt2,1924.0,1254.0,1382.0,1181.0,508.0,64.0,71.0,75.0,1820.0,2047.0,953.0,933.0,736.0,336.0,127.0,150.0
swc5_ada2,1920.0,605.0,1213.0,1183.0,678.0,56.0,62.0,38.0,750.0,409.0,601.0,886.0,2351.0,793.0,352.0,378.0
swd3_ies5,1917.0,836.0,1279.0,1141.0,1251.0,51.0,36.0,56.0,787.0,1156.0,1143.0,1666.0,3927.0,468.0,310.0,360.0
