,bin1_rep1,bin2_rep1,bin3_rep1,bin4_rep1,bin5_rep1,bin6_rep1,bin1_rep2,bin2_rep2,bin3_rep2,bin4_rep2,bin5_rep2,bin6_rep2
vps71_hhf2,16.0,25.0,23.0,22.0,42.0,22.0,21.0,15.0,24.0,16.0,26.0,23.0
gapdh_spp1,16.0,28.0,23.0,12.0,25.0,17.0,30.0,16.0,34.0,21.0,21.0,20.0
hda1_rtt102,15.0,23.0,33.0,21.0,42.0,11.0,116.0,112.0,170.0,123.0,190.0,537.0
sus1_swc5,15.0,17.0,74.0,34.0,29.0,7.0,71.0,24.0,69.0,24.0,79.0,50.0
spp1_btt1,15.0,57.0,21.0,61.0,58.0,11.0,13.0,47.0,19.0,66.0,64.0,16.0
esa1_hos1,15.0,48.0,26.0,50.0,25.0,12.0,67.0,60.0,149.0,31.0,89.0,19.0
pyk2_hat2,15.0,85.0,60.0,67.0,53.0,27.0,148.0,73.0,243.0,226.0,115.0,303.0
ies5_rpd3,15.0,12.0,26.0,16.0,17.0,15.0,13.0,16.0,17.0,21.0,24.0,21.0
rpd3_med4,14.0,10.0,33.0,16.0,27.0,22.0,20.0,24.0,17.0,18.0,21.0,22.0
hhf2_nut2,14.0,23.0,81.0,20.0,46.0,20.0,11.0,11.0,34.0,51.0,105.0,9.0
mig1_nhp6a,14.0,72.0,55.0,46.0,63.0,75.0,66.0,43.0,76.0,107.0,208.0,26.0
sfh1_med4,14.0,30.0,41.0,56.0,70.0,15.0,21.0,37.0,80.0,48.0,160.0,61.0
swc5_cac2,14.0,23.0,23.0,11.0,40.0,9.0,102.0,21.0,59.0,63.0,53.0,6.0
sus1_gcn5,14.0,100.0,184.0,168.0,275.0,14.0,32.0,33.0,27.0,18.0,24.0,27.0
hos1_pyk2,13.0,34.0,85.0,63.0,132.0,71.0,8.0,17.0,25.0,102.0,38.0,7.0
DAM_dpd4,13.0,30.0,34.0,89.0,142.0,42.0,128.0,92.0,171.0,37.0,116.0,378.0
med7_nhp6a,13.0,19.0,47.0,14.0,97.0,13.0,14.0,172.0,82.0,44.0,77.0,15.0
hos1_pyk1,13.0,58.0,40.0,31.0,95.0,6.0,76.0,22.0,71.0,62.0,160.0,10.0
eaf3_ldb7,13.0,19.0,26.0,53.0,39.0,18.0,216.0,238.0,523.0,430.0,551.0,28.0
